N°de serie,Proyecto,Cliente,LDP,Fecha de fin estimada,Fecha de entrega estimada,Reprogramaciones de entrega estimada,Causas de reprogramación entrega estimada,Estado,Próximo estadío,Fecha estadío más próximo,Última fecha de entrega acordada con cliente,Registro de fechas de entrega acordada con cliente reprogramadas,Causas reprogramación entrega Cliente,Fecha de fin de equipo,Fecha de entrega final,Comentarios,Duración Planificada Fabricación,Fecha KOM (Inicio del proyecto),Fecha de entrega segun KOM,Cotizado Met,Cotizado Inox,Cotizado GyP,Cotizado Mont,Cotizado Mont E,Cotizado Total,Reales Met,Reales Inox,Reales GyP,Reales Montaje,Reales Montaje E,Reales Total,Retrasos Met,Retrasos Inox,Retrasos GyP,Retrasos Mont,Retrasos Mont E,Retrasos Total,Complejidad,KPI 1 : Hs Consumidas vs Cotizadas,KPI 2: Retraso vs Programación Inicial (días),Carga de LDPs,KPI 3: Presupuesto consumido,Carga Proyección,Comentarios
QM 2683,"CINTA HORIZONTAL-LARGO 1,5m-ANCHO 0,3m",ARGENBRAS,0,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,
QM 2684,CINTA ELEVADORA 30 GR A 1200 MM,ARGENBRAS,0,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,
QM 2685,CINTA GIRATORIA DIAMETRO 2500 MM,ARGENBRAS,0,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,
QM 2686,MESA LATERAL APILADO,ARGENBRAS,0,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,
QM 2687,MESA LATERAL APILADO,ARGENBRAS,0,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,
QM 2688,SOPORTES VARIOS ESTRUCTURAS EXAR ,FLUENCE,0,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,
QM 2689,BATCH MIXER 2 CENT,LATITUD 45,0,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,
QM 2690,SKID DI13 + Cramaco G2R 315 MB,SCANIA,0,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,
QM 2694,SISTEMA DE CONTROL UNIDAD DE HIDRATACION,LATITUD 45,0,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,
QM 2695,#N/A,0,0,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,04/02/2023,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,
QM 2705,TRAILER PORTA SILOS 22-60M3,SEA WHITE,0,00/01/1900,04/08/2023,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,20/10/2023,0,0,,,,,,,,,,,,,,,,,,,,,,,77,0,0%,0,
QM 2706,TRAILER PORTA SILOS 22-60M3,SEA WHITE,0,00/01/1900,12/10/2023,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,30/11/2023,0,0,,,,,,,,,,,,,,,,,,,,,,,49,0,0%,0,
QM 2707,FRAC PUMP 3000 HP-3516-TH55-QEM 3000,TENARIS,0,00/01/1900,17/01/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,17/01/2024,0,0,,,,,,,,,,,,,,,,,,,,,3,,0,0,0%,0,
QM 2708,FRAC PUMP 3000 HP-3516-TH55-QEM 3000,TENARIS,0,00/01/1900,17/01/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,22/01/2024,0,0,,,,,,,,,,,,,,,,,,,,,3,,5,0,0%,0,
QM 2709,FRAC PUMP 3000 HP-3516-TH55-QEM 3000,TENARIS,0,00/01/1900,18/01/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,22/01/2024,0,0,,,,,,,,,,,,,,,,,,,,,3,,4,0,0%,0,
QM 2710,FRAC PUMP 3000 HP-3516-TH55-QEM 3000,TENARIS,0,00/01/1900,18/01/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,17/01/2024,0,0,,,,,,,,,,,,,,,,,,,,,3,,-1,0,0%,0,
QM 2711,FRAC PUMP 3000 HP-3516-TH55-QEM 3000,TENARIS,0,00/01/1900,23/01/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,15/02/2024,0,0,,,,,,,,,,,,,,,,,,,,,3,,23,0,0%,0,
QM 2712,FRAC PUMP 3000 HP-3516-TH55-QEM 3000,TENARIS,0,00/01/1900,02/02/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,15/02/2024,0,0,,,,,,,,,,,,,,,,,,,,,3,,13,0,0%,0,
QM 2713,FRAC PUMP 3000 HP-3516-TH55-QEM 3000,TENARIS,0,00/01/1900,16/02/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,19/02/2024,0,0,,,,,,,,,,,,,,,,,,,,,3,,3,0,0%,0,
QM 2714,FRAC PUMP 3000 HP-3516-TH55-QEM 3000,TENARIS,0,00/01/1900,16/02/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,19/02/2024,0,0,,,,,,,,,,,,,,,,,,,,,3,,3,0,0%,0,
QM 2715,FRAC PUMP 3000 HP-3516-TH55-QEM 3000,TENARIS,0,00/01/1900,01/03/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,29/02/2024,0,0,,,,,,,,,,,,,,,,,,,,,3,,-1,0,0%,0,
QM 2716,FRAC PUMP 3000 HP-3516-TH55-QEM 3000,TENARIS,0,00/01/1900,01/03/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,29/02/2024,0,0,,,,,,,,,,,,,,,,,,,,,3,,-1,0,0%,0,
QM 2718,#N/A,0,0,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,
QM 2728,CABINADO ESTRUCUTRAL PARA C175-20 ,FINNING,0,00/01/1900,04/12/2023,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,30/11/2023,0,0,,,,,,,,,,,,,,,,,,,,,,,-4,0,0%,0,
QM 2729,CABINADO ESTRUCUTRAL PARA C175-20 ,FINNING,0,00/01/1900,15/05/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,13/05/2024,0,0,,,,,,,,,,,,,,,,,,,,,,,-2,0,0%,0,
QM 2730,CABINADO ESTRUCUTRAL PARA C175-20 ,FINNING,0,00/01/1900,27/12/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,14/01/2025,09/01/2025,0,0,,,0,0,0,0,0,,105,0,24,152,0,281,0,0,0,0,0,,,,13,0,0%,0,
QM 2731,CABINADO ESTRUCUTRAL PARA C175-20 ,FINNING,0,00/01/1900,03/01/2025,00/01/1900,0,Entregado,0,,03/01/2025,0,0,14/01/2025,21/01/2025,0,0,,,,,,,,,,,,,,,,,,,,,,,18,0,0%,0,
QM 2732,CABINADO ESTRUCUTRAL PARA C175-20 ,FINNING,0,00/01/1900,10/01/2025,00/01/1900,0,Entregado,0,,10/01/2025,0,0,14/01/2025,09/01/2025,0,0,,,,,,,,,,,,,,,,,,,,,,,-1,0,0%,0,
QM 2733,ADICIONAL #1 YARD SPOOLER 2 5-8,CALFRAC,0,00/01/1900,09/06/2023,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,15/06/2023,0,0,,,,,,,,,,,,,,,,,,,,,,,6,0,0%,0,
QM 2734,SUPER REEL,WTF,0,00/01/1900,29/01/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,15/02/2024,0,0,,,,,,,,,,,,,,,,,,,,,,,17,0,0%,0,
QM 2735,TRAILER QUICK RIG UP,WTF,0,00/01/1900,20/10/2023,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,20/10/2023,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0%,0,
QM 2737,PESADORA LINEAL DE PAPA 2 CABEZALES,BIDEGAIN,0,00/01/1900,20/03/2023,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,21/03/2023,0,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0%,0,
QM 2738,Frac Pump 2250HP - MTU-ALLISON,SESA,0,00/01/1900,17/10/2023,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,12/10/2023,0,0,,,,,,,,,,,,,,,,,,,,,3,,-5,0,0%,0,
QM 2739,CABINA SBF624,SLB,0,00/01/1900,17/11/2023,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,07/12/2023,0,0,,,,,,,,,,,,,,,,,,,,,,,20,0,0%,0,
QM 2740,TWIN CEMENT PUMPER,LATITUD 45,0,00/01/1900,18/01/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,18/01/2024,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0%,0,
QM 2742,LARGE BORE 7- 116 - 26 BOCAS,TENARIS,0,00/01/1900,05/02/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,15/03/2024,0,0,,,,,,,,,,,,,,,,,,,,,2,,39,0,0%,0,
QM 2745,TUBING REEL 2 5-8,CALFRAC,0,00/01/1900,31/08/2023,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,04/09/2023,0,0,,,,,,,,,,,,,,,,,,,,,,,4,0,0%,0,
QM 2746,DESGASIFICADOR TK SKIMMER Ø2032x4500 7KG_CM2,PAE,0,00/01/1900,04/03/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,01/07/2024,0,0,,,,,,,,,,,,,,,,,,,,,,,119,0,0%,0,
QM 2747,BATCH MIXER 3 CENT,LATITUD 45,0,00/01/1900,18/12/2023,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,,,868,0,0%,0,
QM 2748,Bulk Cementer 600CuFt + 100CuFt,LATITUD 45,0,00/01/1900,29/09/2023,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,19/10/2023,0,0,,,,,,,,,,,,,,,,,,,,,,,20,0,0%,0,
QM 2749,SISTEMA DE CONTROL UNIDAD DE HIDRATACION #2,LATITUD 45,0,00/01/1900,05/01/2024,00/01/1900,0,Stand by,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,,,850,0,0%,0,
QM 2750,ADICIONAL END CANCAMOS SILO QM2750,HALLIBURTON,0,00/01/1900,12/01/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,13/01/2024,0,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0%,0,
QM 2751,ADICIONAL END CANCAMOS SILO QM2751,HALLIBURTON,0,00/01/1900,22/01/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,19/01/2024,0,0,,,,,,,,,,,,,,,,,,,,,,,-3,0,0%,0,
QM 2752,ADICIONAL END CANCAMOS SILO QM2752,HALLIBURTON,0,00/01/1900,12/01/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,13/01/2024,0,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0%,0,
QM 2753,FRAC PUMP (R) 2250 HP - MTU - ALLISON - QWS 2500,WTF,0,00/01/1900,04/03/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,15/03/2024,0,0,,,,,,,,,,,,,,,,,,,,,3,,11,0,0%,0,
QM 2754,FRAC PUMP (R) 2250 HP - MTU - ALLISON - QWS 2500,WTF,0,00/01/1900,13/09/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,04/10/2024,0,0,,,,,,,,,,,,,,,,,,,,,3,,21,0,0%,0,
QM 2755,FRAC PUMP (R) 2250 HP - MTU - ALLISON - QWS 2500,WTF,0,13/06/2025,13/06/2025,20/6/2025; 06/06/2025,Falta de capacidad;Retraso de componentes compras,Entregado,0,,00/01/1900,0,0,17/06/2025,17/06/2025,0,0,,,600,64,227,500,95,1486,582,142,70,961,101,1856,16,5,9,94,9,133,3,124.9%,-3,0,0%,0,
QM 2756,FRAC PUMP (R) 2250 HP - MTU - ALLISON - QWS 2500,WTF,0,00/01/1900,11/07/2025,00/01/1900,0,Cancelado,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,0,0,0,0,0,,0,0,0,2,0,2,0,0,0,0,0,,3,,297,0,0%,0,
QM 2757,WET SAND BLENDER,SLB,0,00/01/1900,17/11/2023,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,07/12/2023,0,0,,,,,,,,,,,,,,,,,,,,,5,,20,0,0%,0,
QM 2758,DATA VAN 2 EJES,TENARIS,0,00/01/1900,19/02/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,22/02/2024,0,0,,,,,,,,,,,,,,,,,,,,,,,3,0,0%,0,
QM 2759,MANIFOLD KIT DGB HASA x60,FINNING,0,00/01/1900,15/01/2025,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,00/01/1900,"*Última entrega parcial de 9 kits -Restan 6 y están reparando 3 que volvieron
El adicional corresponde a reparaciones
4 están listos, restan hacer 2",0,,,0,0,0,0,0,,55,197,89,88,0,429,0,0,14,5,0,19,,,474,0,0%,0,
QM 2760,SKID LARGE BORE 8-STATION,CALFRAC,0,00/01/1900,15/12/2023,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,29/11/2023,0,0,,,,,,,,,,,,,,,,,,,,,2,,-16,0,0%,0,
QM 2761,SKID DI16 + STAMFORD HCI5F,SCANIA,0,00/01/1900,16/06/2023,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,23/06/2023,0,0,,,,,,,,,,,,,,,,,,,,,,,7,0,0%,0,
QM 2762,CUNA METALICA PARA TRANSPORTE MOTOR CAT 3512,SLB,0,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,03/11/2023,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,
QM 2763,CUNA METALICA PARA TRANSPORTE MOTOR CAT 3512,SLB,0,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,03/11/2023,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,
QM 2764,SKID DI16 + STAMFORD HCI5F,SCANIA,0,00/01/1900,21/07/2023,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,25/07/2023,0,0,,,,,,,,,,,,,,,,,,,,,,,4,0,0%,0,
QM 2765,#N/A,0,0,00/01/1900,20/07/2023,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,20/07/2023,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0%,0,
QM 2766,"FILTROS DUPLEX SKID 3,5 BARG",CTSA,0,00/01/1900,10/05/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,13/05/2024,0,0,,,,,,,,,,,,,,,,,,,,,,,3,0,0%,0,
QM 2767,ADICIONAL END CANCAMOS SILO QM2767,HALLIBURTON,0,00/01/1900,10/04/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,20/05/2024,0,0,,,,,,,,,,,,,,,,,,,,,,,40,0,0%,0,
QM 2768,ADICIONAL END CANCAMOS SILO QM2768,HALLIBURTON,0,00/01/1900,10/04/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,20/05/2024,0,0,,,,,,,,,,,,,,,,,,,,,,,40,0,0%,0,
QM 2769,ADICIONAL END CANCAMOS SILO QM2769,HALLIBURTON,0,00/01/1900,31/01/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,08/04/2024,0,0,,,,,,,,,,,,,,,,,,,,,,,68,0,0%,0,
QM 2770,ADICIONAL END CANCAMOS SILO QM2770,HALLIBURTON,0,00/01/1900,10/04/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,20/05/2024,0,0,,,,,,,,,,,,,,,,,,,,,,,40,0,0%,0,
QM 2771,FRAC PUMP 2500 HP-QSK50-TA8091-QWS 2500,CALFRAC,Facundo Fernández,00/01/1900,26/06/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,04/07/2024,0,0,,,,,,,,,,,,,,,,,,,,,3,,8,0,0%,0,
QM 2772,FRAC PUMP 2500 HP-QSK50-TA8091-QWS 2500,CALFRAC,Facundo Fernández,00/01/1900,26/06/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,04/07/2024,0,0,,,,,,,,,,,,,,,,,,,,,3,,8,0,0%,0,
QM 2773,FRAC PUMP 2500 HP-QSK50-TA8091-QWS 2500,LATITUD 45,Facundo Fernández,00/01/1900,09/08/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,11/08/2024,0,0,,,,,,,,,,,,,,,,,,,,,3,,2,0,0%,0,
QM 2774,FRAC PUMP 2500 HP-QSK50-TA8091-QWS 2500,LATITUD 45,Facundo Fernández,00/01/1900,30/08/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,02/10/2024,0,0,,,,,,,,,,,,,,,,,,,,,3,,33,0,0%,0,
QM 2775,DOFT TRAILER MOUNTED,TENARIS,0,00/01/1900,19/08/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,31/08/2024,0,0,,,,,,,,,,,,,,,,,,,,,,,12,0,0%,0,
QM 2776,BLENDER 60 BBL,LATITUD 45,0,00/01/1900,02/06/2025,27/06/2024,0,Entregado,0,,27/06/2024,0,0,02/06/2025,13/06/2025,0,239,,,,,,,,,,,,,,,,,,,,,5,,351,0,0%,0,
QM 2777,SKID SCANIA DI9 GENERADOR SIN DEFINIR,SCANIA,0,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,24/11/2023,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,
QM 2778,SKID SCANIA DI9 GENERADOR SIN DEFINIR,SCANIA,0,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,24/11/2023,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,
QM 2779,SKID PARA 2 GENERADORES SIN DEFINIR,SCANIA,0,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,24/11/2023,0,0,06/06/2024,15/01/2025,,,,,,,,,,,,,,,,,,,,,,0,0%,0,
QM 2780,CABINA SBF624,SLB,0,00/01/1900,31/05/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,08/07/2024,0,0,06/06/2024,15/01/2025,0,0,0,0,0,,0,2,0,0,83,85,0,0,0,0,18,18,,,38,0,0%,0,
QM 2781,CABINA SBF624,SLB,0,00/01/1900,05/07/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,01/11/2024,0,0,06/06/2024,15/01/2025,,,,,,,,,,,,,,,,,,,,,119,0,0%,0,
QM 2782,CABINA SBF624,SLB,0,00/01/1900,05/07/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,12/07/2024,Resta instalación,0,06/06/2024,15/01/2025,,,,,,,,,,,,,,,,,,,,,7,0,0%,0,
QM 2793,FRAC PUMP 2500 HP-QSK50-TA8091-QWS 2500,CALFRAC,Facundo Fernández,00/01/1900,25/10/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,30/12/2024,15/01/2025,0,112,06/06/2024,15/01/2025,1120,300,350,600,280,2650,17,38,66,413,98,632,3,0,0,39,6,48,3,23.8%,82,0,0%,0,
QM 2794,FRAC PUMP 2500 HP-QSK50-TA8091-QWS 2500,CALFRAC,Facundo Fernández,00/01/1900,25/10/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,30/12/2024,15/01/2025,0,126,,,1120,300,350,600,280,2650,22,84,87,442,185,820,3,0,0,49,5,57,3,30.9%,82,0,0%,0,
QM 2795,FRAC PUMP 2500 HP-QSK50-TA8091-QWS 2500,CALFRAC,Facundo Fernández,00/01/1900,22/11/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,27/12/2024,15/01/2025,0,133,,,1120,300,350,600,280,2650,23,90,100,717,283,1212,0,3,0,80,29,112,3,45.7%,54,0,0%,0,
QM 2796,FRAC PUMP 2500 HP-QSK50-TA8091-QWS 2500,CALFRAC,Facundo Fernández,00/01/1900,22/11/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,30/12/2024,15/01/2025,0,133,,,1120,300,350,600,280,2650,39,97,45,639,263,1081,11,0,0,90,40,140,3,40.8%,54,0,0%,0,
QM 2797,TURBINE FRAC PUMP 5000 HP,QME,Federico Donatini,00/01/1900,30/05/2025,10/01/2025,0,Stand by,Montaje,02/06/2025,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,3,,479,1.213007566,0%,0.623832463,
QM 2798 Prototipo,GRUA TIPO BANDERA 280Kgs MODELO QM-G280 GEN3,0,Federico Donatini,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,1,,,0,0%,0,
QM 2798-17,GRUA TIPO BANDERA 280Kgs MODELO QM-G280 GEN3,0,Federico Donatini,00/01/1900,29/03/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,02/09/2024,0,0,,,,,,,,,,,,,,,,,,,,,1,,157,0,0%,0,
QM 2818-19,CUNA METALICA PARA TRANSPORTE MOTOR CAT 3512,0,Federico Donatini,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,12/04/2024,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,
QM 2820,Turbine Power Module,0,Federico Donatini,00/01/1900,30/05/2025,10/01/2025,0,Stand by,Próximo a terminar,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,,,479,0,0%,0,
QM 2821,SKID DI16 + STAMFORD HCI5F,SCANIA,0,00/01/1900,15/04/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,,,749,0,0%,0,
QM 2822,FRAC PUMP 2500 HP - 3512C-TH55E70 - QWS 2500,WTF,Agustín Bereilh,00/01/1900,31/01/2025,00/01/1900,0,Entregado,0,,10/12/2024,0,0,20/02/2025,21/02/2025,Fecha de testeo es estimada,174,,,1100,300,250,700,100,2450,59,399,300,706,135,1598,0,72,0,149,23,244,3,65.2%,21,0,0%,0,
QM 2823,FRAC PUMP 2500 HP - 3512C-TH55E70 - QWS 2500,WTF,Agustín Bereilh,00/01/1900,31/01/2025,00/01/1900,0,Entregado,0,,10/12/2024,0,0,20/02/2025,21/02/2025,Fecha de testeo es estimada,166,,,1100,300,250,700,100,2450,65,387,246,734,141,1571,6,60,0,155,11,232,3,64.1%,21,0,0%,0,
QM 2824,FRAC PUMP 2000 HP - WAUKESHA - ZF - QWS2500XL,QME,Federico Donatini,00/01/1900,03/04/2025,26/02/2025,0,Entregado,0,,00/01/1900,0,0,20/03/2025,20/03/2025,"Puede volver, no está vendido",149,,,1000,300,200,500,280,2280,1121,339,400,1554,646,4059,38,32,17,457,203,747,3,178.0%,22,0,0%,0,
QM 2825,"DRILLING RIG GAS GENSET - WAUKESHA - 1,2 MW",QME,Santiago Lenzi,30/03/2026,30/03/2026,01/10/2025,0,Stand by,Pintura,20/04/2026,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,1100,0,200,600,0,1900,621,115,0,0,0,736,3,1,0,0,0,4,,38.7%,215,0.046209812,0%,0.034657359,
QM 2826,"DRILLING RIG GAS GENSET - WAUKESHA - 1,2 MW",QME,Santiago Lenzi,30/03/2026,30/03/2026,01/10/2025,0,Stand by,Pintura,20/04/2026,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,1100,0,200,600,0,1900,574,87,0,0,0,661,4,1,0,0,0,5,,34.8%,215,0.046209812,0%,0.034657359,
QM 2827,"DRILLING RIG GAS GENSET - WAUKESHA - 1,2 MW",QME,Santiago Lenzi,30/03/2026,30/03/2026,01/10/2025,0,Stand by,Pintura,27/04/2026,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,19/09/2024,,1100,0,200,600,0,1900,562,78,0,0,0,641,0,1,0,0,0,1,,33.7%,215,0.046209812,0%,0.034657359,
QM 2828-37,GRUA TIPO BANDERA 280Kgs MODELO QM-G280 GEN3,0,Agustín Bereilh,00/01/1900,27/09/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,16/09/2024,0,0,19/09/2024,,,,,,,,,,,,,,,,,,,,1,,-11,0,0%,0,
QM 2838,DOSIFICADOR DE ADITIVOS SECOS (DAS) QM9100A,SESA,Martín Navarro,00/01/1900,03/01/2025,00/01/1900,0,Entregado,0,,00/01/1900,0,0,30/01/2025,03/02/2025,A la espera de gente para retomar,0,,,,,,,,,,,,,,,,,,,,,,,31,0,0%,0,
QM 2839,DOSIFICADOR DE ADITIVOS SECOS (DAS) QM9100A,SESA,Martín Navarro,00/01/1900,03/01/2025,00/01/1900,0,Entregado,0,,00/01/1900,0,0,30/01/2025,03/02/2025,A la espera de gente para retomar,0,,,,,,,,,,,,,,,,,,,,,,,31,0,0%,0,
QM 2840,UNIDAD DE CONTROL DE FRACTURA,TENARIS,Agustín Bereilh,00/01/1900,20/08/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,09/10/2024,0,0,,,0,0,0,0,0,,6,46,1,0,18,70,3,4,0,0,0,7,1,,50,0,0%,0,
QM 2841,UNIDAD DE CONTROL DE FRACTURA,TENARIS,Agustín Bereilh,00/01/1900,20/08/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,1,,622,0,0%,0,
QM 2842,UNIDAD DE CONTROL DE FRACTURA,TENARIS,Agustín Bereilh,00/01/1900,25/12/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,1,,495,0,0%,0,
QM 2843,UNIDAD DE CONTROL DE FRACTURA,TENARIS,Agustín Bereilh,00/01/1900,10/01/2025,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,00/01/1900,En Shop NQN,0,,,,,,,,,,,,,,,,,,,,,1,,479,0,0%,0,
